"artist","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","2022-01-01","2022-02-01","2022-03-01","2022-04-01","2022-05-01","2022-06-01","2022-07-01","2022-08-01","2022-09-01","2022-10-01","2022-11-01","2022-12-01"
"Rita Ora","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","1","63","47","20","9","0","10","2","0","7","146","100","17","0","0","0","9","0","0","0","0","12","13","16","3","0","1","1","0","0","0","0","1","0","0","2","1","17","0","0","0","0","0","0","15","0","0","2","1","0","1","1","0","0","0","0","20","41","12","6","11","12","33","26","9","21","16","9","7","5","35","22","8","3","58","38","75","31","22","26","15","5","10","12","9","3","5","1","14","7","0","2","4","16","15","8","4","7","2","1","0","1","0","9","1","1","3","4","0","1","1","4","0","0","0","0","0","2","0","1","7","4","0","0","0","32"
"Kacey Musgraves","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","1","0","0","0","18","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","106","14","23","39","1","0","2","0","0","0","0","0","1","0","0","0","3","0","0","0","0","0","0","13","4","3","0","2","0","5","48","279","5","37","15","0","0","4","2","3","0","15","8","8","0","3","29","0","1","0","4","2","0","0","6","107","92","0","0","0","0","181","5","0","0","0","0","0","70","17","0","21","141","20","0","34","10","3","7","0","0","82","1","0","0","0","0","0"
"De La Soul","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","179","31","60","32","13","10","26","2","0","0","2","0","0","0","0","1","1","0","0","1","0","1","8","2","0","1","59","2","0","0","0","0","0","0","0","1","7","0","14","22","27","90","64","0","1","4","0","2","1","7","9","0","0","7","31","20","10","11","3","2","5","4","4","1","2","0","0","1","4","0","2","4","7","2","10","7","1","0","1","0","7","8","0","0","0","3","3","4","0","2","0","1","3","0","0","0","1","0","0","0","0","0","0","1","1","0","1","0","0","0","1","0","1","0","0","0","0","0"
"Lykke Li","0","35","6","79","6","1","0","17","52","34","71","13","22","22","19","17","7","5","10","10","11","2","9","2","2","1","0","7","6","18","2","0","3","0","53","7","5","2","1","0","0","0","0","1","0","0","6","10","62","10","0","11","2","2","1","1","0","0","0","1","0","0","3","0","0","2","0","0","0","2","23","1","2","2","2","0","0","1","0","1","0","0","0","0","0","1","3","9","6","4","1","7","6","2","1","4","23","41","6","6","4","17","14","2","0","1","5","0","7","13","22","5","6","4","14","7","13","2","0","3","5","9","1","9","1","5","12","0","0","0","1","0","0","0","2","4","0","2","0","2","0","0","1","2","3","3","1","0","8","7","4","1"
"Alicia Keys","5","1","1","51","0","3","37","10","8","64","3","18","14","10","13","11","5","6","4","6","10","6","1","0","0","0","3","0","7","6","43","17","6","10","0","3","11","1","8","4","0","0","0","0","0","1","6","2","1","1","3","0","2","1","0","0","0","0","0","3","0","0","0","0","1","0","0","0","0","2","29","0","13","4","0","3","1","44","46","0","0","0","5","37","0","0","0","1","15","9","1","6","3","1","16","3","1","0","0","0","0","0","1","0","1","13","4","1","24","31","7","3","8","13","15","8","53","26","5","21","13","7","1","6","150","109","4","11","37","80","29","1","6","7","0","1","1","4","1","3","1","0","0","2","0","1","0","21","2","0","1","0"
"Nicki Minaj","0","0","0","0","0","0","0","0","28","34","115","25","26","7","4","54","4","60","36","61","74","35","12","138","12","26","100","82","40","7","40","7","15","7","9","6","48","6","1","22","0","0","1","0","0","9","0","1","15","41","2","0","0","2","0","133","25","2","3","1","4","3","2","0","1","0","0","0","2","0","29","0","0","1","0","0","1","3","0","3","0","0","10","10","1","0","0","4","21","13","6","9","5","0","4","1","1","1","35","143","0","7","2","5","16","5","8","3","6","6","6","2","3","2","8","7","0","0","2","4","6","2","21","6","0","2","0","0","0","0","1","0","2","1","0","1","0","3","18","0","0","24","7","101","10","1","2","1","12","10","6","3"
"The Cranberries","0","3","0","0","0","0","0","0","0","1","2","0","6","0","0","0","0","0","0","21","0","0","0","1","0","0","5","34","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","24","0","3","63","0","0","0","0","23","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","17","2","0","9","0","0","0","0","0","5","14","10","0","0","3","5","23","6","1","177","15","48","14","14","3","1","0","0","0","1","0","0","10","14","43","9","2","4","1","2","0","18","90","0","57","23","1","2","0","0","1","0","0","1","0","0","0","1","0","6","4","4","0","4","3","0","1","0","8","3","0","1","0","18","0","0","77","0","0"
"Jon Hopkins","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","63","3","6","0","8","7","1","38","23","0","17","69","15","41","0","1","0","6","8","30","0","0","7","8","1","0","1","0","0","0","3","2","0","2","0","0","0","0","0","0","0","3","3","3","4","1","1","0","0","0","1","0","0","0","0","1","0","6","0","96","24","0","0","1","0","0","0","0","6","1","0","0","0","1","0","0","2","2","0","0","1","2","3","4","0","7","3","0","0","0","1","11","7","0","14","72","4","1","4","15","4","53","9","18","35","0","4","2","2","7","0","15","12","0","0"
"Maggie Rogers","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","21","2","0","0","0","0","102","35","20","7","19","25","7","15","8","8","3","5","5","1","2","4","9","5","2","0","15","48","5","38","78","46","9","7","2","6","14","0","7","1","53","37","14","2","5","9","23","11","1","10","2","2","10","22","9","1","3","0","20","0","2","1","0","1","0","0","0","0","0","9","1","30","222","187","83","24","19","78"
"Florence + The Machine","0","0","0","0","0","3","8","2","4","13","28","4","29","16","18","25","47","72","61","18","182","55","13","35","17","7","11","18","7","6","4","2","7","1","0","26","15","1","1","0","0","0","0","0","0","0","0","1","1","0","1","0","4","0","0","0","0","0","19","26","7","14","0","0","1","0","1","1","0","1","11","1","2","2","6","0","0","1","1","5","0","0","0","0","0","1","75","8","11","2","3","28","3","3","0","32","18","15","14","0","8","15","4","1","5","3","3","3","0","2","1","0","1","1","12","2","0","0","2","6","3","5","3","5","1","0","3","0","0","0","1","1","0","3","0","9","14","4","2","2","0","2","2","3","3","6","1","0","2","2","0","0"
"Max Richter","0","0","0","0","0","201","56","1","45","1","2","3","106","5","2","2","0","0","26","19","17","0","0","0","1","0","0","5","1","1","0","0","25","1","0","0","12","0","1","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","27","1","0","7","20","1","2","0","0","0","0","0","0","9","2","2","6","4","0","0","0","0","0","1","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","4","0","0","1","0","0","1","6","96","297","23","56","13","38","7","84","49","21","2","1","5","0","2","10","39","10","9","0","39","14","0","0"
"Kings of Leon","11","0","0","0","11","78","16","1","6","17","20","6","6","7","4","5","3","1","4","1","5","4","3","1","1","0","0","0","5","4","0","0","1","1","0","62","0","8","1","3","18","17","0","0","0","0","0","25","6","40","12","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","2","0","0","1","64","113","2","0","1","25","20","0","8","57","24","1","0","5","0","7","0","0","9","12","1","0","0","0","0","0","1","0","0","0","1","0","0","2","0","1","0","1","2","1","0","0","0","10","0","1","1","1","0","0","0","14","12","1","1","1","0","0","0","1","0","4","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
"Kanye West","2","0","0","35","15","50","37","4","136","18","9","5","31","16","27","12","4","2","9","12","20","4","6","11","20","6","3","5","22","89","160","51","32","11","87","11","1","12","27","6","20","10","12","7","37","35","0","13","5","12","35","17","1","3","3","0","25","21","65","21","5","15","3","35","1","0","0","0","0","2","20","347","54","2","7","10","0","5","43","1","0","0","0","0","2","0","0","5","20","13","2","9","5","1","4","18","15","36","1","0","4","2","2","0","1","2","1","3","4","5","1","2","3","13","33","3","0","0","1","56","5","11","2","5","0","1","3","1","1","3","35","1","0","0","0","18","4","5","2","2","28","45","63","0","3","10","5","0","0","0","0","0"
"Justin Bieber","2","0","1","0","0","0","0","0","0","1","1","1","2","1","4","1","2","2","4","2","1","1","1","1","2","0","2","2","3","0","0","24","6","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","7","13","0","13","1","43","0","2","1","0","0","0","0","0","1","0","0","0","0","0","2","0","13","6","0","1","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","43","12","25","3","1","3","0","0","1","1","0","2","0","1","413","54","28","1","0","2","4","1","62","0","0","8","4","2","2","4","1","3","0","17","0"
"Katy Perry","0","38","16","94","31","21","26","16","21","25","53","66","11","14","14","45","9","5","2","7","12","19","3","19","4","15","6","8","5","6","1","0","10","5","5","45","13","1","1","3","23","28","0","0","1","1","1","1","1","11","0","0","0","3","1","0","1","0","1","0","1","2","2","0","0","0","0","0","0","0","26","0","2","2","0","1","1","1","0","0","0","26","3","3","19","24","14","12","1","0","0","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","20","0","0","4","1","1","2","14","17","5","1","0","5","9","30","9","28","33","71","5","7","0","0","0","3","1","1","7","2","0","0","4","1","2","0","0","0","1","2","3","18","2","0","0","0","0"
"Ariana Grande","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","11","17","2","4","0","3","0","9","0","1","1","0","0","0","0","3","2","2","1","4","0","111","25","1","0","0","4","3","1","0","2","3","0","12","14","3","1","11","7","5","10","0","1","3","16","10","4","38","342","83","35","21","8","13","79","29","94","22","31","8","2","12","4","20","9","1","4","6","5","31","9","2","18","0","38","49","0","2","2","3","0","0","5","0","4","0","6","0","16","5","1","0","1","1","0","0","0","0","0","0","0"
"Beastie Boys","0","0","0","0","0","0","0","0","0","0","0","21","32","4","3","2","3","2","3","1","3","0","0","0","80","7","2","0","3","23","35","14","1","2","11","0","0","63","34","0","0","0","0","0","10","38","0","16","0","40","52","8","0","0","11","0","30","0","19","13","0","27","50","2","0","1","0","0","0","1","1","0","1","0","5","0","1","1","1","0","0","0","0","0","0","0","1","5","11","7","5","2","1","2","3","0","0","5","0","0","0","1","0","0","0","15","32","0","1","3","0","0","0","0","1","2","0","0","3","1","1","0","0","1","0","0","0","0","0","0","0","0","0","2","2","0","2","1","0","0","0","0","1","0","1","1","2","0","0","0","0","0"
"Jessie Ware","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","86","13","1","11","3","10","30","2","183","77","36","1","0","1","13","6","0","5","0","0","0","3","2","13","17","23","15","3","4","65","2","8","12","2","80","42","7","0","34","0","0","0","1","5","0","1","18","4","0","1","3","0","2","0","1","10","3","4","0","8","5","33","98","36","28","5","8","3","3","8","21","6","2","0","10","3","0","0","10","9","5","10","5","5","1","5","2","29","11","3","3","10","9","41","15","2","7","2","3","1","12","0","0","1","2","3","14","6","8","3","6","0","2","0","0","0","2","0","0","15","1","1","0","0","0"
"Dua Lipa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","8","0","1","1","2","0","4","1","4","0","0","9","3","0","66","1","15","8","4","221","3","6","14","40","5","14","2","75","7","10","22","1","1","0","14","5","19","3","8","4","8","2","5","7","3","1","6","2","26","20","11","20","94","63","16","7","3","28","0","13","15","31","4","5","1","3","0","7","3","0","0","3","3","3","0","0","0","0","0","1","1","0","0","0","0","0"
"Beyoncé","4","6","3","9","39","6","16","1","2","48","23","31","18","136","42","10","9","10","17","2","7","5","3","7","3","0","2","0","6","0","1","0","1","1","24","39","30","1","9","2","0","0","0","25","18","6","3","1","0","32","32","0","3","6","123","24","96","2","16","78","10","9","3","0","0","11","79","2","28","38","22","0","19","1","1","2","0","4","0","12","3","0","3","57","5","0","1","3","23","12","7","10","2","3","7","2","1","21","4","0","0","0","5","0","3","3","4","17","4","3","67","50","13","0","12","7","1","0","0","2","4","13","7","4","3","3","2","0","1","0","2","0","0","0","0","0","0","8","8","0","0","0","0","23","1","38","38","71","2","0","1","4"
"Jessie J","0","0","0","0","0","0","0","4","23","30","29","89","43","59","52","119","18","38","40","16","101","18","16","5","9","44","33","28","4","4","3","2","1","2","1","1","10","17","0","0","64","25","1","0","0","0","0","19","0","0","0","0","6","17","3","2","0","1","0","1","1","3","1","0","0","1","0","0","0","1","14","0","2","0","2","1","1","2","1","4","0","1","2","0","1","0","0","17","9","4","5","4","7","0","1","0","3","3","1","6","1","0","1","0","0","1","2","0","2","0","0","0","2","0","8","2","0","1","1","11","2","5","1","2","0","0","4","0","0","0","0","0","0","4","1","0","0","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0"
"Camila Cabello","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","4","0","6","3","254","21","15","0","18","4","1","1","0","3","13","4","0","0","0","0","2","3","5","0","7","25","46","18","6","2","7","3","5","3","2","0","0","4","1","31","78","0","0","0","0","0","8","6","2","13","2","1","0","0","1","53","11","1","6","2","0","0","1","0"
"Jesse & Joy","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","107","6","6","0","0","0","0","19","0","0","22","6","2","67","16","0","0","18","23","3","13","5","3","0","2","22","26","6","10","0","0","5","9","11","0","2","3","1","2","2","2","0","1","13","8","2","1","21","5","13","84","55","10","7","0","0","1","0","0","0","1","0","0","3","0","0","0","2","0","37","4","7","0","2","14","84","39","6","0","0","0","0"
"Madonna","3","22","5","0","0","6","1","3","1","36","6","26","2","15","12","9","3","2","1","5","10","86","89","99","36","5","25","1","8","9","4","3","1","2","6","54","32","3","0","2","0","0","0","0","1","0","0","0","3","10","0","0","0","2","3","1","0","0","0","2","3","6","0","0","0","4","2","0","0","1","10","0","0","2","2","0","0","11","0","9","0","1","2","2","3","0","15","2","13","0","2","9","5","0","1","2","12","13","1","10","0","14","0","0","0","1","6","0","2","8","2","0","2","0","9","0","0","0","7","10","10","7","4","3","0","0","3","1","0","0","1","3","13","6","8","1","2","4","1","3","0","1","4","2","3","6","9","6","1","2","0","1"
"HAIM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","71","7","11","0","15","45","1","32","0","14","8","1","75","114","9","0","12","0","28","67","40","34","14","30","13","6","0","8","2","0","2","1","0","2","0","0","1","0","0","20","0","0","13","4","1","1","0","2","0","3","0","0","0","0","0","0","68","5","45","5","32","31","6","12","4","3","8","0","13","2","1","0","1","3","5","0","0","6","6","3","7","6","1","37","9","2","48","27","7","0","24","14","29","20","16","5","4","2","2","1","1","18","11","1","0","1","3","0","0","3","1","0","0","0","1","0","1","0","0","0","1","0","0","0"
"Drake","1","2","0","0","0","2","1","0","4","4","2","1","2","4","4","5","25","15","47","9","5","11","3","0","1","1","1","0","45","11","0","2","91","14","0","1","1","1","1","17","26","21","2","31","9","2","0","3","2","0","4","7","0","0","1","1","0","54","38","11","1","3","1","0","0","1","0","0","1","1","10","64","17","3","219","104","1","7","4","4","2","39","82","7","0","6","12","9","22","11","7","13","3","33","2","13","14","43","276","19","0","39","3","3","1","3","7","1","6","15","7","12","7","0","10","9","0","0","4","15","21","10","7","4","0","0","3","0","2","0","0","2","0","3","0","4","33","2","1","1","0","0","0","5","1","35","9","3","0","0","0","0"
"JAY-Z","0","11","9","88","0","27","15","6","4","23","15","5","25","6","146","118","30","19","6","3","15","3","0","1","6","3","1","1","2","18","81","55","125","4","27","87","0","4","100","10","0","61","4","4","3","0","56","37","17","1","19","0","1","5","6","0","0","0","2","1","1","2","1","0","0","14","1","0","0","1","9","6","11","1","0","0","0","0","0","2","0","0","66","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","39","1","0","4","0","2","0","1","0","0","2","0","131","2","0","0","0","0","0","0","0","0","126","0","0","2","0","2","1","0","0","0","0","0"
